,liczba,przypadek,rodzaj,przyrodz.,osoba,stopień,aspekt,zaneg.,akcent.,poprzyim.,akomod.,aglutyn.,wokal.,kropk.
rzeczownik,⊕,⊕,⊙,⊙,,,,,,,,,,
rzeczownik deprecjatywny,⊙,⊕,⊙,,,,,,,,,,,
liczebnik główny,⊙,⊕,⊕,,,,,,,,⊕,,,
liczebnik złoż.,,,,,,,,,,,,,,
przymiotnik,⊕,⊕,⊕,,,⊕,,,,,,,,
przymiotnik przyprzym.,,,,,,,,,,,,,,
przymiotnik poprzyim.,,⊕,,,,,,,,,,,,
przysłówek,,,,,,⊕,,,,,,,,
zaimek nietrzecioosobowy,⊙,⊕,⊕,,⊙,,,,⊕,,,,,
zaimek trzecioosobowy,⊕,⊕,⊕,,⊙,,,,⊕,⊕,,,,
zaimek :small-caps:`siebie`,,⊕,,,,,,,,,,,,
forma nieprzeszła,⊕,,,,⊕,,⊙,,,,,,,
forma przyszła :small-caps:`być`,⊕,,,,⊕,,⊙,,,,,,,
aglutynant :small-caps:`być`,⊕,,,,⊕,,⊙,,,,,,⊕,
pseudoimiesłów,⊕,,⊕,,,,⊙,,,,,⊕,,
rozkaźnik,⊕,,,,⊕,,⊙,,,,,,,
bezosobnik,,,,,,,⊙,,,,,,,
bezokolicznik,,,,,,,⊙,,,,,,,
im. przys. współczesny,,,,,,,⊙,,,,,,,
im. przys. uprzedni,,,,,,,⊙,,,,,,,
odsłownik,⊕,⊕,⊙,,,,⊙,⊕,,,,,,
im. przym. czynny,⊕,⊕,⊕,,,,⊙,⊕,,,,,,
im. przym. bierny,⊕,⊕,⊕,,,,⊙,⊕,,,,,,
winien,⊕,,⊕,,,,⊙,,,,,,,
predykatyw,,,,,,,,,,,,,,
przyimek,,⊙,,,,,,,,,,,⊕,
spójnik współrz.,,,,,,,,,,,,,,
spójnik podrz.,,,,,,,,,,,,,,
partykuła,,,,,,,,,,,,,⊕,
skrót,,,,,,,,,,,,,,⊕
człon wyrażenia,,,,,,,,,,,,,,
wykrzyknik,,,,,,,,,,,,,,
znak interpunkcyjny,,,,,,,,,,,,,,
ciało obce,,,,,,,,,,,,,,